Date;Profile;Message;Number of Likes;Number of comments;Number of Reactions, Comments & Shares;Impressions;Interactions per impression;Profile-ID;Post-ID;Link;
6/22/23 3:53 PM;Jair M. Bolsonaro; Transposul/exposição.- Porto Alegre/RS.- 22/junho/2023.Jair Bolsonaro/visita.;638981.0;23570.0;662551.0;;;324756395;18226151638236041;https://www.instagram.com/reel/CtzavFiMrgf/;
6/22/23 2:02 PM;Jair M. Bolsonaro; Obrigado a todos!;429471.0;18979.0;448450.0;;;324756395;17998117432914648;https://www.instagram.com/reel/CtzODFwtHw0/;
6/22/23 8:27 AM;Jair M. Bolsonaro; Decolando agora para Porto Alegre.- Pouso às 11h20AM no Salgado Filho.- Bom dia a todos.;1508418.0;54722.0;1563140.0;;;324756395;17960664701545795;https://www.instagram.com/p/Ctynwl5Oi-U/;
6/21/23 6:49 PM;Jair M. Bolsonaro;Reciclagem avançou em todas as regiões do país durante nosso Governo.-Abarcando de celulares a geladeiras, a ação do programa Lixão Zero já está transformando a realidade dos resíduos eletrônicos no Brasil.-Com centrais de coleta já implantadas no Norte e no Nordeste, o sistema fechou o ano de 2022 com 10 capitais contempladas em todas as regiões do País.-A meta para  2025 era a inclusão de 400 municípios no sistema, contribuindo para a reinserção dos resíduos na economia circular, o encerramento de lixões, que durante nossa gestão foram fechados mais de 700 em todo país , e a geração de empregos verdes no setor de coleta e reciclagem.;143465.0;4216.0;147681.0;;;324756395;17990031538902656;https://www.instagram.com/p/CtxKI86PlmY/;
6/21/23 12:43 PM;Jair M. Bolsonaro; Governo Jair Bolsonaro instituiu a Rede Colaborativa para o Aumento da Produtividade e da Competitividade do Setor Automotivo Brasileiro, denominada Made in Brasil Integrado (MiBI).- A iniciativa tem por objetivo elevar a competitividade das cadeias produtivas do setor, permitindo uma melhor participação destas nos mercados locais e global.- Entre as atividades estão o mapeamento de demandas e oportunidades nas principais commodities da indústria automotiva, a remoção de barreiras para o desenvolvimento e a produção nacional de componentes, sistemas e peças e a proposição de estratégias para evitar o desabastecimento do mercado brasileiro.- Emprego, desenvolvimento e logística.- Detalhes: https://www.gov.br/economia/pt-br/assuntos/noticias/2021/outubro/ministerio-da-economia-institui-rede-colaborativa-para-aumentar-competitividade-do-setor-automotivo;159976.0;2243.0;162219.0;;;324756395;17998958269902259;https://www.instagram.com/p/CtwgQDbL032/;
6/20/23 1:08 PM;Jair M. Bolsonaro; A política externa cabe ao Chefe do Executivo Federal.- Um se reúne com embaixadores, outro com ditadores.;222262.0;6280.0;228542.0;;;324756395;17866995902946649;https://www.instagram.com/reel/Ctt-PuoM_oX/;
6/19/23 4:47 PM;Jair M. Bolsonaro;-;197426.0;6935.0;204361.0;;;324756395;18005112574823695;https://www.instagram.com/p/CtrymRLv7Ve/;
6/19/23 11:36 AM;Jair M. Bolsonaro; PUBLICADA DURANTE NOSSA GESTÃO CONVENÇÃO ENTRE SUÍÇA E BRASIL:- Promulgamos a Convenção entre a Confederação Suíça e a República Federativa do Brasil para eliminar a dupla tributação em relação aos tributos sobre a renda e prevenir a evasão e a elisão fiscais entre os países.- A iniciativa tem por objetivo evitar a dupla tributação de renda em diversos setores da economia, garantindo maior segurança jurídica às relações econômicas e financeiras entre os dois países, além de fortalecer as relações comerciais bilaterais.- Detalhes: https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2021/06/promulgada-convencao-entre-brasil-e-suica-para-eliminar-dupla-tributacao;380506.0;7244.0;387750.0;;;324756395;17885401676808378;https://www.instagram.com/p/CtrO_m_Lqhv/;
6/18/23 3:57 PM;Jair M. Bolsonaro; 🇧🇷;283149.0;12096.0;295245.0;;;324756395;18048050089449728;https://www.instagram.com/reel/CtpH6J7OLUs/;
6/18/23 8:48 AM;Jair M. Bolsonaro; ❤️🇧🇷👍;245615.0;8050.0;253665.0;;;324756395;17983480130273127;https://www.instagram.com/reel/CtoWzeNNiQk/;
6/17/23 11:52 AM;Jair M. Bolsonaro;PEQUENO HISTÓRICO DE REDUÇÕES DE IMPOSTOS E TARIFAS REALIZADOS PELO GOVERNO JAIR BOLSONARO:-Em 2019, ano não eleitoral, o Governo Federal reduziu impostos sobre remédios contra câncer e HIV/aids, jogos eletrônicos e baixamos as taxas de 532 itens de produção,-Em 2020, ano não eleitoral, reduzimos impostos da folha de pagamento para estimular a contratação de jovens, promovemos nova redução sobre jogos eletrônicos, além de diminuirmos e zerarmos impostos de medicamentos e centenas de produtos médicos, incluindo os de combate à Covid-19.-Também em 2020 zeramos impostos para distribuidoras de energia elétrica, sobre equipamentos de energia solar, sobre cilindros de oxigênio e medicamentos para atrofia muscular espinhal (AME), Impostos federais sobre o arroz, a soja e o milho foram zerados.-As reduções de impostos realizadas em 2022 foram apenas a continuidade de uma política permanente.-No dia 11 de maio de 2022, nova rodada de redução de impostos reflete no preço dos alimentos aos Brasileiros.Carne bovina: de 10,8% para 0,Carne de frango: de 9% para 0,Farinha de trigo: de 10,8% para 0,Bolachas e biscoitos: de 16,2% para O,Produtos de padaria e pastelaria: de 16,2%para 0.-Em março também foram zerados os impostos de importação sobre o café, margarina, macarrão, óleo de soja, açúcar e do álcool que vai na mistura da gasolina.Os impostos federais sobre o diesel e o gás de cozinha também foram zerados, além de muitos outros desde 2019.COMPARTILHE E RESTABELEÇA A VERDADE!;204987.0;4769.0;209756.0;;;324756395;17999187592822985;https://www.instagram.com/p/CtmHP3xLhTT/;
6/16/23 8:00 PM;Jair M. Bolsonaro;-;184569.0;8444.0;193013.0;;;324756395;17972287967220895;https://www.instagram.com/p/CtkaPEZPd0v/;
6/16/23 12:22 PM;Jair M. Bolsonaro; GOVERNO JAIR BOLSONARO: BRASIL ESTREOU NA BETT BRASIL 2022, O MAIOR ENCONTRO DE EDUCAÇÃO, TECNOLOGIA E INOVAÇÃO DA AMÉRICA LATINA!- Oportunidade de demonstração de uma das prioridades do Governo Federal além da alfabetização (ensino técnico para retorno nacional de investimento na educação de alunos e sociedade).- Empresas internacionais foram observadoras para contratações e compartilhamento de conhecimento da tecnicidade exposta em campo.;173641.0;4224.0;177865.0;;;324756395;18366398767024437;https://www.instagram.com/p/Ctjl3HsrPMC/;
6/15/23 8:45 AM;Jair M. Bolsonaro;-;641723.0;14584.0;656307.0;;;324756395;18169029898303860;https://www.instagram.com/p/CtgoSXzuplp/;
6/14/23 8:00 PM;Jair M. Bolsonaro;-;459539.0;10717.0;470256.0;;;324756395;18023739574565574;https://www.instagram.com/reel/CtfQsFDu_1h/;
6/14/23 8:20 AM;Jair M. Bolsonaro;Por iniciativa de nossa gestão, o Governo Federal distribuiu, pela 1° vez, livros didáticos à crianças da pré-escola!-Nos Programas Conta pra Mim e Criança Feliz, famílias beneficiadas pelo Auxílio Brasil receberam kits com livros infantis, a fim de incentivar a prática da leitura em voz alta feita pelos adultos aos pequenos.-E o mais importante, sem ideologização de qualquer assunto!-Programa Nacional do Livro e do Material Didático (PNLD), com 85 anos de história, nunca havia distribuído material didático para esse público.-Foram atendidas mais de 65 mil escolas públicas em 5045 municípios brasileiros.-No total, mais de 2,8 milhões de livros foram destinados às crianças da educação infantil.;106146.0;2715.0;108861.0;;;324756395;17991159350053688;https://www.instagram.com/p/CteAmZ9OY6n/;
