Number of pairs,25409.000000
Number of unique pairs,2270
Average pair frequency,11.193392
Pair entropy,7.063166

Pair,Frequency,Proportion,Entropy Term,Mutual Information
doutrinador ainda,35.000000,0.001377,0.009074,3.528517
doutrinador pior,49.000000,0.001928,0.012055,4.447274
doutrinador traficante,71.000000,0.002794,0.016431,4.648234
doutrinador drogas,62.000000,0.002440,0.014679,3.941238
doutrinador porque,19.000000,0.000748,0.005383,3.735458
doutrinador tenta,56.000000,0.002204,0.013483,4.832119
doutrinador sequestrar,14.000000,0.000551,0.004134,3.258226
doutrinador disse,11.000000,0.000433,0.003353,2.941078
traficantes pode,7.000000,0.000275,0.002258,1.240530
traficantes expresidente,5.000000,0.000197,0.001679,0.171266
traficantes bolsonaro,29.000000,0.001141,0.007733,0.027597
traficantes durante,16.000000,0.000630,0.004641,1.656854
traficantes proarmas,11.000000,0.000433,0.003353,1.699896
traficantes brasilia,4.000000,0.000157,0.001378,0.395072
traficantes deputado,13.000000,0.000512,0.003877,0.911438
traficantes eduardo,26.000000,0.001023,0.007045,1.016482
traficantes professor,18.000000,0.000708,0.005138,1.877291
traficantes fala,11.000000,0.000433,0.003353,1.587891
traficantes diz,6.000000,0.000236,0.001972,1.510398
traficantes dino,10.000000,0.000394,0.003086,1.642326
traficantes sao,9.000000,0.000354,0.002814,0.734619
traficantes professores,5.000000,0.000197,0.001679,-0.474856
traficantes ser,7.000000,0.000275,0.002258,0.741539
traficantes neste,3.000000,0.000118,0.001068,0.552297
traficantes discurso,14.000000,0.000551,0.004134,1.876519
traficantes noticias,3.000000,0.000118,0.001068,0.949179
traficantes piores,6.000000,0.000236,0.001972,1.736355
traficantes drogas,91.000000,0.003581,0.020170,3.582336
traficantes flavio,7.000000,0.000275,0.002258,1.461837
traficantes deve,3.000000,0.000118,0.001068,1.280536
traficantes evento,15.000000,0.000590,0.004389,1.891445
traficantes armamentista,5.000000,0.000197,0.001679,1.739176
traficantes filho,6.000000,0.000236,0.001972,1.280536
traficantes ministro,11.000000,0.000433,0.003353,1.154132
traficantes ato,9.000000,0.000354,0.002814,1.769771
traficantes justica,4.000000,0.000157,0.001378,0.481582
traficantes segundo,3.000000,0.000118,0.001068,1.211543
traficantes educadores,12.000000,0.000472,0.003617,2.472674
traficantes diferenca,21.000000,0.000826,0.005867,2.869771
traficantes alem,4.000000,0.000157,0.001378,1.199120
traficantes cassacao,3.000000,0.000118,0.001068,0.887047
traficantes ministerio,3.000000,0.000118,0.001068,1.298554
fala expresidente,5.000000,0.000197,0.001679,0.823867
fala bolsonaro,40.000000,0.001574,0.010160,1.001782
fala durante,4.000000,0.000157,0.001378,0.923161
fala deputado,17.000000,0.000669,0.004891,1.832303
fala federal,6.000000,0.000236,0.001972,0.463372
fala eduardo,34.000000,0.001338,0.008854,1.937347
fala comparou,4.000000,0.000157,0.001378,1.724382
fala professor,3.000000,0.000118,0.001068,0.738133
fala politico,3.000000,0.000118,0.001068,2.007245
fala sobre,22.000000,0.000866,0.006106,2.192017
fala professores,13.000000,0.000512,0.003877,1.133256
fala contra,5.000000,0.000197,0.001679,0.655184
fala parlamentar,5.000000,0.000197,0.001679,1.625127
fala lula,4.000000,0.000157,0.001378,0.572847
fala investigacao,3.000000,0.000118,0.001068,1.187804
fala deve,3.000000,0.000118,0.001068,1.933137
fala evento,3.000000,0.000118,0.001068,0.934608
fala filho,5.000000,0.000197,0.001679,1.750815
politico expresidente,6.000000,0.000236,0.001972,2.072225
politico bolsonaro,3.000000,0.000118,0.001068,-0.522449
diz bolsonaro,6.000000,0.000236,0.001972,-0.366695
diz professor,4.000000,0.000157,0.001378,1.554458
diz tarcisio,3.000000,0.000118,0.001068,1.130546
diz sobre,3.000000,0.000118,0.001068,0.728230
diz sao,11.000000,0.000433,0.003353,2.116534
diz professores,9.000000,0.000354,0.002814,1.294175
diz sera,7.000000,0.000275,0.002258,2.749462
diz ser,3.000000,0.000118,0.001068,1.075486
diz policia,3.000000,0.000118,0.001068,1.862159
diz piores,7.000000,0.000275,0.002258,3.071750
diz sempre,9.000000,0.000354,0.002814,3.042449
talvez professor,46.000000,0.001810,0.011431,4.534198
talvez doutrinador,44.000000,0.001732,0.011011,4.782848
talvez ainda,39.000000,0.001535,0.009945,4.612740
talvez pior,15.000000,0.000590,0.004389,4.239513
ainda pode,4.000000,0.000157,0.001378,1.374062
ainda bolsonaro,7.000000,0.000275,0.002258,-0.700642
ainda eduardo,3.000000,0.000118,0.001068,-0.449855
ainda pior,40.000000,0.001574,0.010160,4.194853
ainda sobre,3.000000,0.000118,0.001068,0.240133
ainda governo,4.000000,0.000157,0.001378,0.714563
ainda professores,3.000000,0.000118,0.001068,-0.292535
ainda parlamentar,5.000000,0.000197,0.001679,1.665673
