Number of words,464246
Number of unique words,500
Average word frequency,928.492000
Entropy,5.766500

Word,Frequency,Proportion,Entropy Term
poderes,2147,0.004625,0.024864
urgente,629,0.001355,0.008948
presidente,4360,0.009392,0.043839
internado,1314,0.002830,0.016607
fortes,487,0.001049,0.007196
dores,843,0.001816,0.011460
abdominais,707,0.001523,0.009879
nesta,1708,0.003679,0.020622
segundafeira,934,0.002012,0.012491
adventhealth,363,0.000782,0.005594
celebration,368,0.000793,0.005660
orlando,883,0.001902,0.011916
florida,849,0.001829,0.011529
desde,1292,0.002783,0.016376
historia,425,0.000915,0.006405
aqui,584,0.001258,0.008401
bolsonaristas,1714,0.003692,0.020681
segunda,321,0.000691,0.005031
rio,467,0.001006,0.006943
janeiro,1634,0.003520,0.019884
hoje,987,0.002126,0.013083
manha,424,0.000913,0.006392
situacao,527,0.001135,0.007698
sao,2672,0.005756,0.029685
tentativa,509,0.001096,0.007473
cerca,412,0.000887,0.006236
golpistas,2052,0.004420,0.023964
acesso,467,0.001006,0.006943
tambem,2684,0.005781,0.029792
apos,3318,0.007147,0.035314
local,619,0.001333,0.008827
antes,870,0.001874,0.011768
terrorismo,787,0.001695,0.010815
havia,548,0.001180,0.007958
sido,723,0.001557,0.010068
feito,667,0.001437,0.009404
policiais,437,0.000941,0.006559
grupo,648,0.001396,0.009176
policia,2263,0.004875,0.025951
sob,408,0.000879,0.006184
grande,660,0.001422,0.009320
numero,329,0.000709,0.005139
inicio,336,0.000724,0.005234
desta,745,0.001605,0.010326
ha,1343,0.002893,0.016910
acoes,599,0.001290,0.008584
social,448,0.000965,0.006700
durante,2047,0.004409,0.023916
quatro,734,0.001581,0.010197
anos,2560,0.005514,0.028677
grupos,359,0.000773,0.005541
gestao,585,0.001260,0.008413
outros,939,0.002023,0.012547
agora,1450,0.003123,0.018018
golpe,1530,0.003296,0.018835
militar,1065,0.002294,0.013942
ser,3493,0.007524,0.036790
so,1317,0.002837,0.016638
anistia,452,0.000974,0.006752
renan,342,0.000737,0.005314
pedir,317,0.000683,0.004977
brasileira,837,0.001803,0.011391
ter,1449,0.003121,0.018008
vandalos,349,0.000752,0.005407
esquerda,760,0.001637,0.010502
marco,341,0.000735,0.005301
contas,584,0.001258,0.008401
manifestacoes,886,0.001908,0.011950
estao,1232,0.002654,0.015742
stf,3223,0.006942,0.034505
poder,887,0.001911,0.011961
eleicoes,1269,0.002733,0.016133
eleicao,893,0.001924,0.012029
proprio,359,0.000773,0.005541
estado,2401,0.005172,0.027227
acaba,330,0.000711,0.005153
bem,761,0.001639,0.010513
link,490,0.001055,0.007234
canal,329,0.000709,0.005139
novo,688,0.001482,0.009654
prisao,2035,0.004383,0.023802
ato,687,0.001480,0.009642
exercito,769,0.001656,0.010606
noite,486,0.001047,0.007184
domingo,2968,0.006393,0.032302
tudo,1096,0.002361,0.014280
vida,496,0.001068,0.007310
pode,1104,0.002378,0.014367
reuniao,361,0.000778,0.005567
tarcisio,328,0.000707,0.005126
antidemocraticos,821,0.001768,0.011208
radicais,353,0.000760,0.005461
tarde,474,0.001021,0.007032
deste,623,0.001342,0.008875
governador,1107,0.002385,0.014399
paulo,909,0.001958,0.012210
seguranca,2397,0.005163,0.027190
acampamentos,327,0.000704,0.005112
frente,1049,0.002260,0.013767
pessoas,1768,0.003808,0.021215
acampamento,352,0.000758,0.005447
apoiadores,1453,0.003130,0.018049
luiz,1217,0.002621,0.015582
inacio,1105,0.002380,0.014378
silva,1415,0.003048,0.017658
presidencia,1074,0.002313,0.014040
republica,1990,0.004287,0.023371
volta,569,0.001226,0.008217
via,776,0.001672,0.010688
acao,619,0.001333,0.008827
serao,317,0.000683,0.004977
sede,590,0.001271,0.008474
pf,958,0.002064,0.012760
podem,350,0.000754,0.005421
ficar,305,0.000657,0.004814
publica,1633,0.003518,0.019874
decisao,761,0.001639,0.010513
alguns,396,0.000853,0.006028
ordem,580,0.001249,0.008352
supremo,2030,0.004373,0.023754
tribunal,2519,0.005426,0.028305
informacoes,1022,0.002201,0.013470
ontem,616,0.001327,0.008790
afirmou,1045,0.002251,0.013723
visto,344,0.000741,0.005341
chefe,401,0.000864,0.006093
caso,667,0.001437,0.009404
deixar,307,0.000661,0.004841
mudar,360,0.000775,0.005554
afirma,373,0.000803,0.005726
relacao,454,0.000978,0.006777
extremistas,425,0.000915,0.006405
politicos,476,0.001025,0.007057
senador,491,0.001058,0.007247
fazer,728,0.001568,0.010127
atual,374,0.000806,0.005739
ministro,2725,0.005870,0.030158
justica,2282,0.004915,0.026128
dia,2547,0.005486,0.028559
sera,873,0.001880,0.011802
completa,373,0.000803,0.005726
politica,1526,0.003287,0.018795
direita,712,0.001534,0.009938
verdade,603,0.001299,0.008633
invasao,1413,0.003044,0.017637
palacio,1593,0.003431,0.019472
planalto,1563,0.003367,0.019170
alexandre,1585,0.003414,0.019392
moraes,2275,0.004900,0.026063
diz,1283,0.002764,0.016281
longo,349,0.000752,0.005407
mandato,1091,0.002350,0.014226
dentro,453,0.000976,0.006764
constituicao,412,0.000887,0.006236
vandalismo,1298,0.002796,0.016439
depredacao,534,0.001150,0.007785
patrimonio,321,0.000691,0.005031
publico,1114,0.002400,0.014475
ocorridos,355,0.000765,0.005487
nesse,363,0.000782,0.005594
ultimo,1076,0.002318,0.014062
violencia,531,0.001144,0.007747
autoridades,440,0.000948,0.006598
brasileiro,989,0.002130,0.013105
cargo,656,0.001413,0.009272
menos,925,0.001992,0.012390
governo,4874,0.010499,0.047838
apenas,694,0.001495,0.009725
tempo,407,0.000877,0.006171
politico,556,0.001198,0.008057
fato,325,0.000700,0.005085
parte,1081,0.002329,0.014117
devem,366,0.000788,0.005633
forma,709,0.001527,0.009903
ainda,1930,0.004157,0.022794
df,1626,0.003502,0.019804
primeiro,832,0.001792,0.011334
afastado,338,0.000728,0.005260
crimes,656,0.001413,0.009272
responsabilidade,364,0.000784,0.005607
camara,397,0.000855,0.006041
distrito,1763,0.003798,0.021165
segundo,1808,0.003894,0.021607
bloqueio,509,0.001096,0.007473
sigilo,1247,0.002686,0.015901
mesma,317,0.000683,0.004977
flavio,527,0.001135,0.007698
dino,417,0.000898,0.006301
deu,464,0.000999,0.006905
entao,828,0.001784,0.011288
presos,636,0.001370,0.009032
instituicoes,640,0.001379,0.009080
nacional,1596,0.003438,0.019503
passou,346,0.000745,0.005367
diante,345,0.000743,0.005354
responsaveis,492,0.001060,0.007259
publicos,885,0.001906,0.011938
vez,979,0.002109,0.012994
vao,336,0.000724,0.005234
aconteceu,358,0.000771,0.005527
documento,819,0.001764,0.011185
fez,787,0.001695,0.010815
neste,889,0.001915,0.011984
leia,856,0.001844,0.011609
posse,446,0.000961,0.006675
internacao,481,0.001036,0.007120
imprensa,331,0.000713,0.005166
ocorreu,307,0.000661,0.004841
parlamentares,366,0.000788,0.005633
dar,446,0.000961,0.006675
globo,515,0.001109,0.007548
onde,1053,0.002268,0.013811
vamos,526,0.001133,0.007685
capitolio,311,0.000670,0.004896
porque,869,0.001872,0.011757
la,559,0.001204,0.008094
total,408,0.000879,0.006184
vai,1591,0.003427,0.019452
disso,403,0.000868,0.006119
forcas,1004,0.002163,0.013271
armadas,537,0.001157,0.007822
momento,617,0.001329,0.008803
qualquer,581,0.001251,0.008364
manifestacao,401,0.000864,0.006093
democratico,360,0.000775,0.005554
final,415,0.000894,0.006275
agencia,469,0.001010,0.006968
salario,653,0.001407,0.009236
r,4793,0.010324,0.047216
chegou,383,0.000825,0.005858
acordo,662,0.001426,0.009344
metropoles,362,0.000780,0.005580
estar,411,0.000885,0.006223
problema,321,0.000691,0.005031
familia,638,0.001374,0.009056
dezembro,767,0.001652,0.010583
veja,747,0.001609,0.010350
invasoes,516,0.001111,0.007560
responsavel,359,0.000773,0.005541
toda,323,0.000696,0.005058
messias,522,0.001124,0.007635
partido,426,0.000918,0.006418
capital,505,0.001088,0.007423
intervencao,651,0.001402,0.009212
invadiram,543,0.001170,0.007896
praca,677,0.001458,0.009523
predios,986,0.002124,0.013071
campanha,565,0.001217,0.008168
presidencial,524,0.001129,0.007660
ex,305,0.000657,0.004814
fim,810,0.001745,0.011081
eleitoral,1139,0.002453,0.014746
ibaneis,1077,0.002320,0.014073
rocha,815,0.001756,0.011139
dias,1144,0.002464,0.014800
deixou,325,0.000700,0.005085
conta,607,0.001307,0.008681
alem,865,0.001863,0.011711
pedido,1469,0.003164,0.018213
anderson,2238,0.004821,0.025718
torres,3498,0.007535,0.036832
bolsonarista,523,0.001127,0.007648
sendo,717,0.001544,0.009997
outro,432,0.000931,0.006495
financiadores,384,0.000827,0.005871
disse,1738,0.003744,0.020919
apoio,628,0.001353,0.008936
maior,668,0.001439,0.009416
biden,353,0.000760,0.005461
cima,301,0.000648,0.004760
deixa,1039,0.002238,0.013657
video,1501,0.003233,0.018540
eduardo,328,0.000707,0.005126
decreto,908,0.001956,0.012199
precisa,352,0.000758,0.005447
secretario,505,0.001088,0.007423
resultado,1159,0.002497,0.014961
urnas,393,0.000847,0.005989
destruicao,431,0.000928,0.006482
chega,303,0.000653,0.004787
exsecretario,585,0.001260,0.008413
investigacao,762,0.001641,0.010525
saiba,412,0.000887,0.006236
fala,514,0.001107,0.007535
jornal,725,0.001562,0.010092
foto,643,0.001385,0.009116
nova,526,0.001133,0.007685
ultima,395,0.000851,0.006015
vezes,637,0.001372,0.009044
onibus,383,0.000825,0.005858
inquerito,665,0.001432,0.009380
reacao,346,0.000745,0.005367
depredaram,319,0.000687,0.005004
executivo,491,0.001058,0.007247
pede,500,0.001077,0.007360
preso,812,0.001749,0.011104
uol,397,0.000855,0.006041
ataque,505,0.001088,0.007423
noticia,493,0.001062,0.007272
cadeia,369,0.000795,0.005673
primeira,719,0.001549,0.010021
choque,405,0.000872,0.006145
causa,351,0.000756,0.005434
processo,598,0.001288,0.008572
militares,707,0.001523,0.009879
pois,380,0.000819,0.005818
muitos,359,0.000773,0.005541
ai,304,0.000655,0.004801
genocida,309,0.000666,0.004869
cartao,2500,0.005385,0.028132
corporativo,2020,0.004351,0.023659
terrorista,401,0.000864,0.006093
gente,652,0.001404,0.009224
aliados,339,0.000730,0.005274
casa,1532,0.003300,0.018856
tv,311,0.000670,0.004896
quase,394,0.000849,0.006002
milhoes,1859,0.004004,0.022105
investigado,317,0.000683,0.004977
eleito,395,0.000851,0.006015
mdb,380,0.000819,0.005818
superior,521,0.001122,0.007623
ver,556,0.001198,0.008057
horas,489,0.001053,0.007221
carlos,406,0.000875,0.006158
preciso,320,0.000689,0.005018
dinheiro,560,0.001206,0.008106
petista,415,0.000894,0.006275
informacao,892,0.001921,0.012018
acesse,309,0.000666,0.004869
senado,430,0.000926,0.006469
ministros,441,0.000950,0.006611
pouco,318,0.000685,0.004991
partir,356,0.000767,0.005501
comando,440,0.000948,0.006598
fonte,499,0.001075,0.007347
publicacao,301,0.000648,0.004760
nenhum,326,0.000702,0.005099
nome,529,0.001139,0.007722
entrevista,344,0.000741,0.005341
periodo,429,0.000924,0.006456
regiao,308,0.000663,0.004855
protestos,347,0.000747,0.005381
inclusive,300,0.000646,0.004746
cada,475,0.001023,0.007044
uniao,650,0.001400,0.009200
alvorada,313,0.000674,0.004923
semana,422,0.000909,0.006366
ultimos,356,0.000767,0.005501
pediu,518,0.001116,0.007585
passado,622,0.001340,0.008863
pgr,619,0.001333,0.008827
bolsonarismo,401,0.000864,0.006093
mil,2000,0.004308,0.023467
trabalho,354,0.000763,0.005474
voce,573,0.001234,0.008266
nota,344,0.000741,0.005341
meio,693,0.001493,0.009713
omissao,322,0.000694,0.005045
desse,304,0.000655,0.004801
medida,626,0.001348,0.008911
participacao,346,0.000745,0.005367
lista,437,0.000941,0.006559
lado,362,0.000780,0.005580
ferias,376,0.000810,0.005765
vem,374,0.000806,0.005739
investigacoes,308,0.000663,0.004855
determinou,471,0.001015,0.006994
medidas,443,0.000954,0.006636
apreensao,374,0.000806,0.005739
ano,1116,0.002404,0.014497
investigar,379,0.000816,0.005805
passe,360,0.000775,0.005554
demonstrar,354,0.000763,0.005474
vitoria,396,0.000853,0.006028
enquanto,613,0.001320,0.008754
outra,303,0.000653,0.004787
ministerio,965,0.002079,0.012838
junto,340,0.000732,0.005287
civil,319,0.000687,0.005004
proposta,406,0.000875,0.006158
brasileiros,680,0.001465,0.009559
forca,437,0.000941,0.006559
materia,378,0.000814,0.005792
dessa,316,0.000681,0.004964
reportagem,322,0.000694,0.005045
publicas,306,0.000659,0.004828
quebra,445,0.000959,0.006662
folha,335,0.000722,0.005220
oficial,389,0.000838,0.005936
cidade,376,0.000810,0.005765
gastos,2185,0.004707,0.025221
texto,417,0.000898,0.006301
tse,706,0.001521,0.009867
dados,666,0.001435,0.009392
secretaria,371,0.000799,0.005699
recebeu,406,0.000875,0.006158
objetivo,490,0.001055,0.007234
reais,428,0.000922,0.006443
unico,424,0.000913,0.006392
encontrado,315,0.000679,0.004950
possivel,398,0.000857,0.006054
augusto,316,0.000681,0.004964
busca,413,0.000890,0.006249
bilhoes,349,0.000752,0.005407
valor,885,0.001906,0.011938
bomba,348,0.000750,0.005394
maioria,329,0.000709,0.005139
valores,481,0.001036,0.007120
equipe,301,0.000648,0.004760
aumento,442,0.000952,0.006623
minimo,748,0.001611,0.010361
mostra,350,0.000754,0.005421
bens,476,0.001025,0.007057
residencia,381,0.000821,0.005831
quintafeira,412,0.000887,0.006236
sextafeira,324,0.000698,0.005072
dilma,740,0.001594,0.010268
procuradoriageral,328,0.000707,0.005126
despesas,538,0.001159,0.007834
alimentacao,300,0.000646,0.004746
hoteis,311,0.000670,0.004896
tercafeira,570,0.001228,0.008229
haddad,316,0.000681,0.004964
inflacao,452,0.000974,0.006752
gasto,427,0.000920,0.006430
gastou,1399,0.003013,0.017492
quartafeira,361,0.000778,0.005567
visitas,304,0.000655,0.004801
restaurante,370,0.000797,0.005686
padaria,319,0.000687,0.005004
hotel,347,0.000747,0.005381
minuta,856,0.001844,0.011609
